"replicate_number","p_value_QSTFST","p_value_LAVA","log_ratio_LAVA","S_value_Driftsel"
76,0.033,0.325,-1.51082621454308,0.392199198209302
45,0.183,0.6365,-0.318832361491474,0.416629771791657
49,0.775,0.8505,-0.13580654757838,0.392800348483875
67,0.01,0.46525,-1.05920978778417,0.351852425793115
204,0.232,0.97025,0.00968584278581758,0.542780138304402
68,0.154,0.636,0.243524488465622,0.578303965235767
66,0.653,0.31575,0.559197704087777,0.630955902879895
75,0.233,0.43875,0.41994993816942,0.559699151141869
2,0.188,0.992,-0.071777326218364,0.492927795278832
1,0.003,0.09925,-1.63957679944093,0.234272300169666
102,0.019,0.18825,-0.834645417660287,0.259419619384852
135,0.02,0.2655,-0.91447080642016,0.32974270582105
250,0.33,0.25025,0.606480992826625,0.64038729959171
3,0.727,0.06725,0.966706752754109,0.721474940726516
133,0.011,0.065,-1.56633908191265,0.194997910714625
448,0.002,0.02375,-2.7497143481309,0.206758920239036
93,0.016,0.2245,-1.16047664372904,0.266270543790992
74,0.197,0.0265,1.22164919322571,0.732431720408728
4,0.473,0.93975,-0.0631863016684096,0.425374029776721
46,0.914,0.914,0.0521325704261001,0.438900660663133
43,0.514,0.972,-0.0446006438299638,0.482981585451363
41,0.029,0.43675,-0.80643821946437,0.362740342792555
269,0.373,0.90625,0.0673525032726437,0.462911708756343
123,0.024,0.306,-0.745690843878534,0.308223487070296
56,0.014,0.16725,-0.997879809672911,0.289309836199946
40,0.024,0.57425,-0.491576535213936,0.373725783044962
116,0.014,0.19025,-1.51145597969335,0.339111537426989
104,0.726,0.61675,-0.278754047228355,0.435879320380862
92,0.101,0.96175,-0.0352255144177752,0.473362256478498
48,0,0.3895,0.401123979538165,0.639129151093266
103,0.983,0.43175,-0.495076562212554,0.307037195514202
168,0.104,0.05075,1.1315642897287,0.677871664054626
96,0.109,0.40625,-0.599396569036082,0.323307720465548
57,0.169,0.177,0.661555382065497,0.693271593414854
214,0.245,0.6495,-0.332690815636765,0.359317002123982
167,0.249,0.459,-0.555834214431213,0.404534581118817
95,0.047,0.51025,-0.588784305050875,0.442666430922712
132,0.296,0.587,0.321133710744044,0.50516281866435
106,0.166,0.56075,-0.411472490225083,0.398441384761126
268,0.018,0.26325,-1.21859672686464,0.334152907161729
94,0.862,0.7385,-0.193603769058966,0.343561937397791
83,0.518,0.719,0.207233727125581,0.476947844500608
86,0.25,0.9215,-0.0827502302918196,0.466607939402193
258,0.159,0.48075,0.414044377322817,0.578455781456832
267,0.717,0.3115,0.549565650235472,0.608678261818885
55,0.519,0.529,0.352977121863694,0.538691731792145
134,0.395,0.54525,0.430553057549799,0.575068774566284
44,0.09,0.0645,0.938832922743282,0.753235196544521
72,0.368,0.6105,0.28462156502767,0.524401677044511
210,0.503,0.24575,0.682648894214588,0.529586030685105
113,0.112,0.2865,-0.820111451777306,0.316926414730493
69,0.745,0.994,-0.00625696640201549,0.422352001283878
59,0.205,0.3455,-0.658063700264592,0.31581977674481
115,0.034,0.55825,-0.532492596170954,0.389215068549084
229,0.564,0.36275,-0.576082556702745,0.296737626638872
139,0.012,0.39025,0.451316173381723,0.576027786961267
105,0.904,0.118,0.959644456335829,0.613678364193432
164,0.643,0.3435,0.451888573565402,0.580558244506506
212,0.556,0.27725,0.558049506913166,0.626630373075504
47,0.616,0.31175,0.548348072254344,0.703074715161438
58,0.639,0.70975,-0.210398797241112,0.425590994158312
73,0.021,0.94725,0.0403832145458906,0.45945990117641
70,0,0.074,0.868024291739873,0.762177871948188
252,0.01,0.024,-2.5741046305294,0.282295937575321
412,0.92,0.29625,0.516714266041709,0.600002240453164
165,0,0.02825,1.13643676121837,0.819792043659254
