"replicate","p_value","mean_diff","CI_lower","CI_upper","median_diff","CI_median_lower","CI_median_upper","log_ratio","CI_log_lower","CI_log_upper"
111,0.241,0.811076456504386,-0.144772571773641,3.24742803680477,0.583901829964007,-0.144772571773641,3.24742803680477,1.45748401845285,-0.468857591280714,3.77353680169191
27,0.247,0.767219209206056,-0.112445786832303,3.12362943465763,0.525835593205179,-0.112445786832303,3.12362943465763,1.37958823875179,-0.402625329080052,3.48581159717745
28,0.285,0.866262919076594,-0.134013433738354,3.85390299142245,0.579837270787789,-0.134013433738354,3.85390299142245,1.38166380800791,-0.41719784619982,3.55084002714966
7,0.0800000000000001,0.0510059759304562,-0.420632074319275,0.94807027984391,-0.0126979298457963,-0.420632074319275,0.94807027984391,-0.256999848159068,-5.00640081409013,3.24124464659782
477,0.4595,0.00282022203925792,-0.609164248937918,1.25582458207285,-0.0972076400760455,-0.609164248937918,1.25582458207285,-0.597079605440987,-5.04210481918444,1.82186091118244
74,0.1875,0.160072657700098,-0.505154250109235,1.61925477411712,0.0387672770494538,-0.505154250109235,1.61925477411712,-0.0360904233956977,-3.6773643579639,2.37271193931412
1,0.4085,0.575895410514209,-0.180365996212921,2.40032640078283,0.394057412126477,-0.180365996212921,2.40032640078283,1.38416172854831,-0.708107880207624,4.31332463882162
148,0.2995,0.0275763568143242,-0.536140437083269,1.12950570145437,-0.0538675702368778,-0.536140437083269,1.12950570145437,-0.47728828616359,-4.84373831586566,2.14452468908278
440,0.05,0.16164640181939,-0.576331134481137,1.79139445851304,0.0134506250077239,-0.576331134481137,1.79139445851304,-0.0819418678225472,-2.75716054181207,1.82403685957155
21,0.464,0.189492478935495,-0.419135282260054,1.50794728298309,0.0837513069773622,-0.419135282260054,1.50794728298309,0.217031841352491,-3.22034706159898,2.79070355344727
2,0.1135,1.02418434348341,-0.0179258786491421,3.63938062388176,0.755942304448268,-0.0179258786491421,3.63938062388176,1.76187891890569,-0.0459705728160285,4.33601604783324
403,0.522,0.637447671579197,-0.266091353299974,2.70634098281435,0.428880419225386,-0.266091353299974,2.70634098281435,1.02294394517597,-0.909586070213754,3.00127996449593
20,0.4215,0.272061345509718,-0.559713901079233,2.09763752274141,0.103885726631222,-0.559713901079233,2.09763752274141,0.167846642484084,-2.0776814588505,2.00029893551103
404,0.7665,0.34552297250725,-0.425750162963095,2.07772109365518,0.187906639443295,-0.425750162963095,2.07772109365518,0.406620373490409,-1.787873744706,2.23421515934427
258,0.637,0.399899028687443,-0.536597181720345,2.67848806517859,0.179931020265943,-0.536597181720345,2.67848806517859,0.314876487895243,-1.73794943956643,2.11352706155194
22,0.445,0.00354183105339819,-0.597091945162686,1.23496887081828,-0.0930831251637875,-0.597091945162686,1.23496887081828,-0.584576541146154,-5.1111742596325,1.78381764396723
32,0.137,0.0562950097907355,-0.469676347900677,1.10412097628231,-0.0256418135754855,-0.469676347900677,1.10412097628231,-0.27819707864392,-4.12061797845655,2.25393741501084
3,0.741,0.382810116933787,-0.471207582029829,2.36165184955507,0.19784133446305,-0.471207582029829,2.36165184955507,0.406333644017402,-1.7190724749807,2.26931469527301
4,0.5165,0.717404576336532,-0.266716619272946,3.21794293358543,0.462767522590983,-0.266716619272946,3.21794293358543,0.999629438486381,-0.805070321545582,2.93282695987394
30,0.5345,0.551086584766698,-0.218876438634963,2.381425138246,0.372458624322943,-0.218876438634963,2.381425138246,0.990140713117652,-0.784245039314961,2.95093863803711
29,0.261,0.0475011577442199,-0.577596184147275,1.32224123612969,-0.0545466773588119,-0.577596184147275,1.32224123612969,-0.35552656992915,-3.71953065800684,1.71970695848168
6,0.652,0.558515025745778,-0.308341344290105,2.4690553851848,0.368345329316464,-0.308341344290105,2.4690553851848,0.929619566946931,-1.11226821102281,3.02635589213882
