"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
14,0.123030116815667,0.821178821178821,0.17982017982018,0.342
13,0.307108586745755,0.266733266733267,0.734265734265734,0.567
15,0.0822233332521953,0.889110889110889,0.111888111888112,0.237
1,0.262758452296191,0.357642357642358,0.643356643356643,0.821
4,0.208306993510698,0.56043956043956,0.440559440559441,0.831
27,0.0774477610389929,0.912087912087912,0.0889110889110889,0.199
3,0.295103929004604,0.268731268731269,0.732267732267732,0.638
2,0.145895640570751,0.741258741258741,0.25974025974026,0.493
9,0.172812303088861,0.637362637362637,0.363636363636364,0.66
5,0.131693097053085,0.803196803196803,0.197802197802198,0.365
10,0.070581897564662,0.925074925074925,0.0759240759240759,0.165
8,0.18672785115886,0.622377622377622,0.378621378621379,0.711
43,0.381770492775429,0.151848151848152,0.849150849150849,0.25
6,0.24199867800163,0.444555444555445,0.556443556443556,0.98
25,0.367967224675521,0.125874125874126,0.875124875124875,0.265
7,0.299721192633661,0.28971028971029,0.711288711288711,0.627
45,0.196168505227866,0.551448551448551,0.44955044955045,0.777
12,0.358505707722717,0.155844155844156,0.845154845154845,0.328
11,0.198403582593063,0.56043956043956,0.440559440559441,0.772
22,0.284686257367789,0.32967032967033,0.671328671328671,0.724
46,0.424078409236209,0.0679320679320679,0.933066933066933,0.095
28,0.356070708868698,0.141858141858142,0.859140859140859,0.295
47,0.171911156477272,0.644355644355644,0.356643356643357,0.613
16,0.288925438751209,0.254745254745255,0.746253746253746,0.626
48,0.0541378750899972,0.949050949050949,0.051948051948052,0.12
50,0.0756721973052807,0.928071928071928,0.0729270729270729,0.141
49,0.322579729878731,0.241758241758242,0.759240759240759,0.506
24,0.041922760284532,0.954045954045954,0.046953046953047,0.116
21,0.143559646103386,0.756243756243756,0.244755244755245,0.462
20,0.255382721869267,0.404595404595405,0.596403596403596,0.885
23,0.464131708655531,0.046953046953047,0.954045954045954,0.054
26,0.134641016452506,0.771228771228771,0.22977022977023,0.416
40,0.413148004322872,0.0979020979020979,0.903096903096903,0.164
17,0.36799933699316,0.128871128871129,0.872127872127872,0.255
18,0.293348601565134,0.274725274725275,0.726273726273726,0.632
19,0.162556657023693,0.697302697302697,0.303696303696304,0.531
39,0.486203537369384,0.022977022977023,0.978021978021978,0.022
41,0.042344234521784,0.963036963036963,0.037962037962038,0.104
42,0.0894341944174708,0.915084915084915,0.0859140859140859,0.193
37,0.183399814355812,0.638361638361638,0.362637362637363,0.669
38,0.30969385543187,0.265734265734266,0.735264735264735,0.547
36,0.418636222993443,0.0709290709290709,0.93006993006993,0.12
33,0.387371230480449,0.108891108891109,0.892107892107892,0.208
35,0.164747106576669,0.682317682317682,0.318681318681319,0.614
31,0.246717440768705,0.407592407592408,0.593406593406593,0.939
30,0.348600547531894,0.184815184815185,0.816183816183816,0.353
32,0.307724870924751,0.281718281718282,0.719280719280719,0.574
34,0.135384633094916,0.79020979020979,0.210789210789211,0.395
29,0.241534532783201,0.437562437562438,0.563436563436563,0.921
44,0.245651651370099,0.408591408591409,0.592407592407592,0.904
100,0.376712969336926,0.128871128871129,0.872127872127872,0.255
96,0.0923988670309668,0.899100899100899,0.101898101898102,0.203
95,0.101082272329291,0.855144855144855,0.145854145854146,0.256
97,0.204916499429345,0.531468531468531,0.46953046953047,0.814
57,0.0456621188597426,0.959040959040959,0.041958041958042,0.096
68,0.178398157784068,0.663336663336663,0.337662337662338,0.652
99,0.207694184406875,0.566433566433566,0.434565434565435,0.824
67,0.138322030776846,0.756243756243756,0.244755244755245,0.425
98,0.0284974636590685,0.973026973026973,0.027972027972028,0.087
54,0.25488296378107,0.410589410589411,0.59040959040959,0.868
69,0.176245837353452,0.636363636363636,0.364635364635365,0.647
55,0.0374409344328176,0.973026973026973,0.027972027972028,0.077
56,0.213727166524775,0.528471528471528,0.472527472527473,0.87
70,0.376009818993649,0.123876123876124,0.877122877122877,0.244
62,0.516411070634529,0.012987012987013,0.988011988011988,0.012
82,0.237442318876011,0.424575424575425,0.576423576423576,0.967
66,0.258658191570774,0.350649350649351,0.65034965034965,0.808
63,0.209637528508966,0.521478521478521,0.47952047952048,0.857
65,0.148899432088979,0.751248751248751,0.24975024975025,0.472
61,0.271010802054485,0.370629370629371,0.63036963036963,0.795
64,0.2183639726717,0.507492507492508,0.493506493506494,0.897
59,0.347718898102886,0.161838161838162,0.839160839160839,0.335
