"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
38,0.186925325272522,0.258741258741259,0.742257742257742,0.581
16,0.317436923531368,0.043956043956044,0.957042957042957,0.044
18,0.26984028904128,0.0909090909090909,0.91008991008991,0.143
15,0.251273256181457,0.116883116883117,0.884115884115884,0.192
14,0.0441302391526048,0.838161838161838,0.162837162837163,0.31
17,0.246244023165437,0.126873126873127,0.874125874125874,0.215
19,0.0204040965463784,0.902097902097902,0.0989010989010989,0.224
12,0.440063517823824,0.030969030969031,0.97002997002997,0.03
11,0.277848097011882,0.0899100899100899,0.911088911088911,0.117
13,0.314116455792291,0.0729270729270729,0.928071928071928,0.084
1,0.203247044832567,0.245754245754246,0.755244755244755,0.512
37,0.120889010475502,0.500499500499501,0.500499500499501,0.874
9,0.255696153515419,0.110889110889111,0.89010989010989,0.175
7,0.0176794447174367,0.932067932067932,0.0689310689310689,0.164
3,0.350022216493166,0.027972027972028,0.973026973026973,0.027
5,0.0418146741697853,0.834165834165834,0.166833166833167,0.353
4,0.348976787708342,0.036963036963037,0.964035964035964,0.036
2,0.31614967546982,0.0529470529470529,0.948051948051948,0.054
10,0.0331934451500536,0.885114885114885,0.115884115884116,0.245
6,0.235011538714903,0.175824175824176,0.825174825174825,0.311
8,0.13948366260408,0.436563436563437,0.564435564435564,0.963
47,0.204126141803231,0.218781218781219,0.782217782217782,0.457
43,0.250379181151215,0.12987012987013,0.871128871128871,0.205
45,0.169799882491035,0.323676323676324,0.677322677322677,0.721
41,0.177132417224053,0.306693306693307,0.694305694305694,0.667
40,0.252259180339247,0.107892107892108,0.893106893106893,0.19
39,0.0890868827543858,0.656343656343656,0.344655344655345,0.651
50,0.166707473579873,0.30969030969031,0.691308691308691,0.784
46,0.0706096617303262,0.744255744255744,0.256743256743257,0.457
49,0.150496045532763,0.38961038961039,0.611388611388611,0.855
42,0.208246233966172,0.234765234765235,0.766233766233766,0.502
48,0.262912423772208,0.0879120879120879,0.913086913086913,0.142
33,0.233119108175836,0.170829170829171,0.83016983016983,0.331
32,0.116936204166124,0.544455544455544,0.456543456543457,0.83
44,0.107525952337373,0.535464535464535,0.465534465534466,0.797
34,-0.00299900882456486,0.973026973026973,0.027972027972028,0.108
35,0.173474803717856,0.310689310689311,0.69030969030969,0.685
22,0.0330789032032965,0.885114885114885,0.115884115884116,0.251
36,0.0414811164022303,0.85014985014985,0.150849150849151,0.312
26,0.0454246954734304,0.828171828171828,0.172827172827173,0.343
24,0.089783049787147,0.627372627372627,0.373626373626374,0.653
21,0.0929212420296027,0.623376623376623,0.377622377622378,0.694
27,0.265134597226503,0.106893106893107,0.894105894105894,0.141
25,0.308813117041596,0.0589410589410589,0.942057942057942,0.06
20,0.10219126581374,0.607392607392607,0.393606393606394,0.712
30,0.143319173219716,0.388611388611389,0.612387612387612,0.87
29,0.0797370621054833,0.712287712287712,0.288711288711289,0.549
31,0.159522184125102,0.347652347652348,0.653346653346653,0.819
28,0.182822703149714,0.291708291708292,0.709290709290709,0.623
23,0.101210584162809,0.598401598401598,0.402597402597403,0.712
88,0.109071536826912,0.545454545454545,0.455544455544456,0.792
66,0.173939752243055,0.27972027972028,0.721278721278721,0.679
69,0.26729245887962,0.110889110889111,0.89010989010989,0.179
65,0.0738211297252676,0.709290709290709,0.291708291708292,0.519
67,0.172742530570621,0.328671328671329,0.672327672327672,0.711
64,0.0896542721054762,0.634365634365634,0.366633366633367,0.632
61,0.0758283381782763,0.713286713286713,0.287712287712288,0.563
68,0.0499135581886249,0.803196803196803,0.197802197802198,0.374
62,0.173013276199926,0.282717282717283,0.718281718281718,0.689
56,0.0344878696840984,0.876123876123876,0.124875124875125,0.266
63,0.102693947154249,0.562437562437562,0.438561438561439,0.761
55,0.189005726997517,0.275724275724276,0.725274725274725,0.626
51,0.124227972339273,0.480519480519481,0.520479520479521,0.88
53,0.144157075383592,0.445554445554446,0.555444555444555,0.936
59,0.253040932185421,0.0929070929070929,0.908091908091908,0.169
52,0.254444213203457,0.111888111888112,0.889110889110889,0.192
54,0.119204788623977,0.518481518481518,0.482517482517482,0.843
57,0.160046321758538,0.341658341658342,0.659340659340659,0.789
58,0.0673475671680192,0.758241758241758,0.242757242757243,0.439
60,0.127490978572148,0.48951048951049,0.511488511488511,0.898
