"individual","trait","trait_id"
1,53.7144,"SL"
2,44.946,"SL"
3,42.1494,"SL"
4,46.3874,"SL"
5,44.8226,"SL"
6,51.9974,"SL"
7,45.0321,"SL"
8,47.0617,"SL"
9,49.0196,"SL"
10,45.8823,"SL"
11,50.3219,"SL"
12,38.5827,"SL"
13,38.8116,"SL"
14,40.643,"SL"
15,50.8709,"SL"
16,49.1198,"SL"
17,44.1874,"SL"
18,50.527,"SL"
19,49.9366,"SL"
20,52.4766,"SL"
21,40.5188,"SL"
22,55.1399,"SL"
23,56.3861,"SL"
24,56.967,"SL"
25,60.2029,"SL"
26,57.9812,"SL"
27,55.2533,"SL"
28,61.1902,"SL"
29,62.5493,"SL"
30,62.9448,"SL"
31,57.963,"SL"
32,61.5409,"SL"
33,60.3419,"SL"
34,58.5587,"SL"
35,59.7224,"SL"
36,57.5468,"SL"
37,58.9462,"SL"
38,62.3024,"SL"
39,59.6485,"SL"
40,69.5866,"SL"
41,67.0113,"SL"
42,63.2371,"SL"
43,63.0242,"SL"
44,66.6557,"SL"
45,55.714,"SL"
46,71.4083,"SL"
47,65.7485,"SL"
48,68.6646,"SL"
49,70.1186,"SL"
50,64.9021,"SL"
51,59.5593,"SL"
52,69.5472,"SL"
53,69.965,"SL"
54,69.7045,"SL"
55,65.9809,"SL"
56,68.4294,"SL"
57,63.1847,"SL"
58,71.4011,"SL"
59,70.0576,"SL"
60,70.849,"SL"
61,69.3253,"SL"
62,76.3154,"SL"
63,66.2018,"SL"
64,68.9801,"SL"
65,65.66,"SL"
66,73.0191,"SL"
67,72.653,"SL"
68,76.6334,"SL"
69,79.5971,"SL"
70,74.6155,"SL"
71,68.2633,"SL"
72,64.1881,"SL"
73,63.3359,"SL"
74,65.7255,"SL"
75,78.998,"SL"
76,68.6763,"SL"
77,66.9044,"SL"
78,67.1686,"SL"
79,65.17,"SL"
80,69.9527,"SL"
81,79.479,"SL"
82,79.3703,"SL"
83,67.67,"SL"
84,62.7646,"SL"
85,80.9475,"SL"
86,78.9353,"SL"
87,66.5772,"SL"
88,80.8641,"SL"
89,64.9757,"SL"
90,75.7834,"SL"
91,74.8527,"SL"
92,80.95,"SL"
1,8.9606,"body.depth"
2,9.134,"body.depth"
3,8.2688,"body.depth"
4,8.2394,"body.depth"
5,8.4154,"body.depth"
6,8.9338,"body.depth"
7,8.3018,"body.depth"
8,8.0479,"body.depth"
9,8.6501,"body.depth"
10,8.2442,"body.depth"
11,9.2042,"body.depth"
12,8.0646,"body.depth"
13,7.719,"body.depth"
14,7.3676,"body.depth"
15,9.8779,"body.depth"
16,9.4776,"body.depth"
17,8.1804,"body.depth"
18,9.8044,"body.depth"
19,9.668,"body.depth"
20,9.5616,"body.depth"
21,9.0623,"body.depth"
22,9.3943,"body.depth"
23,9.2196,"body.depth"
24,9.5726,"body.depth"
25,10.9244,"body.depth"
26,10.202,"body.depth"
27,10.0418,"body.depth"
28,10.2104,"body.depth"
29,11.6995,"body.depth"
30,10.2288,"body.depth"
31,10.4793,"body.depth"
32,12.726,"body.depth"
33,10.88,"body.depth"
34,11.1312,"body.depth"
35,11.1019,"body.depth"
36,10.7674,"body.depth"
37,10.9342,"body.depth"
38,10.7677,"body.depth"
39,10.7674,"body.depth"
40,11.8709,"body.depth"
41,10.7705,"body.depth"
42,11.5665,"body.depth"
43,11.7751,"body.depth"
44,10.9579,"body.depth"
45,11.0925,"body.depth"
46,13.545,"body.depth"
47,12.565,"body.depth"
48,12.7873,"body.depth"
49,13.3642,"body.depth"
50,11.2267,"body.depth"
51,11.9829,"body.depth"
52,12.4483,"body.depth"
53,12.8888,"body.depth"
54,13.5384,"body.depth"
55,12.3931,"body.depth"
56,13.4143,"body.depth"
57,12.6469,"body.depth"
58,13.0744,"body.depth"
59,13.4956,"body.depth"
60,13.2114,"body.depth"
61,12.8934,"body.depth"
62,14.0652,"body.depth"
63,12.389,"body.depth"
64,12.5792,"body.depth"
65,11.8666,"body.depth"
66,13.3053,"body.depth"
67,13.4662,"body.depth"
68,14.2103,"body.depth"
69,13.8046,"body.depth"
70,13.5571,"body.depth"
71,12.5743,"body.depth"
72,11.5291,"body.depth"
73,12.1414,"body.depth"
74,12.1551,"body.depth"
75,14.1611,"body.depth"
76,12.2823,"body.depth"
77,12.7289,"body.depth"
78,12.4112,"body.depth"
79,12.2585,"body.depth"
80,13.4743,"body.depth"
81,13.3934,"body.depth"
82,13.8601,"body.depth"
83,12.4741,"body.depth"
84,11.1174,"body.depth"
85,14.1187,"body.depth"
86,13.5319,"body.depth"
87,12.3917,"body.depth"
88,14.2111,"body.depth"
89,11.9011,"body.depth"
90,13.2863,"body.depth"
91,12.8848,"body.depth"
92,13.6822,"body.depth"
1,7.4839,"cp.length"
2,6.4731,"cp.length"
3,6.2939,"cp.length"
4,6.7379,"cp.length"
5,6.7487,"cp.length"
6,8.4771,"cp.length"
7,7.7244,"cp.length"
8,9.0731,"cp.length"
9,9.1474,"cp.length"
10,8.3579,"cp.length"
11,8.5226,"cp.length"
12,5.9769,"cp.length"
13,5.4824,"cp.length"
14,5.2623,"cp.length"
15,9.0484,"cp.length"
16,6.5656,"cp.length"
17,5.5105,"cp.length"
18,7.2313,"cp.length"
19,6.3194,"cp.length"
20,7.2053,"cp.length"
21,4.325,"cp.length"
22,9.0688,"cp.length"
23,9.7907,"cp.length"
24,9.7658,"cp.length"
25,10.4112,"cp.length"
26,9.7973,"cp.length"
27,8.0974,"cp.length"
28,10.9342,"cp.length"
29,9.4653,"cp.length"
30,9.913,"cp.length"
31,10.2407,"cp.length"
32,11.009,"cp.length"
33,9.7365,"cp.length"
34,10.8639,"cp.length"
35,11.3344,"cp.length"
36,9.9592,"cp.length"
37,9.8013,"cp.length"
38,10.6892,"cp.length"
39,9.154,"cp.length"
40,12.8117,"cp.length"
41,13.8448,"cp.length"
42,10.4832,"cp.length"
43,9.3984,"cp.length"
44,13.9371,"cp.length"
45,6.9629,"cp.length"
46,12.4516,"cp.length"
47,10.5329,"cp.length"
48,12.136,"cp.length"
49,9.6344,"cp.length"
50,9.8183,"cp.length"
51,8.0185,"cp.length"
52,10.7904,"cp.length"
53,10.8734,"cp.length"
54,11.1346,"cp.length"
55,9.569,"cp.length"
56,10.8941,"cp.length"
57,8.898,"cp.length"
58,11.4992,"cp.length"
59,11.2867,"cp.length"
60,10.4415,"cp.length"
61,10.1986,"cp.length"
62,11.7241,"cp.length"
63,10.2007,"cp.length"
64,9.8141,"cp.length"
65,11.0443,"cp.length"
66,10.9357,"cp.length"
67,11.2605,"cp.length"
68,12.0286,"cp.length"
69,11.3099,"cp.length"
70,10.7303,"cp.length"
71,8.5673,"cp.length"
72,9.2102,"cp.length"
73,7.4016,"cp.length"
74,7.9001,"cp.length"
75,12.3332,"cp.length"
76,8.7995,"cp.length"
77,8.8794,"cp.length"
78,8.4041,"cp.length"
79,8.1495,"cp.length"
80,9.1438,"cp.length"
81,11.0913,"cp.length"
82,12.1164,"cp.length"
83,7.9343,"cp.length"
84,8.7943,"cp.length"
85,12.5777,"cp.length"
86,12.1437,"cp.length"
87,8.1533,"cp.length"
88,13.4217,"cp.length"
89,8.3387,"cp.length"
90,11.7006,"cp.length"
91,11.4163,"cp.length"
92,12.2515,"cp.length"
1,0,"feed"
2,0,"feed"
3,0,"feed"
4,0,"feed"
5,0,"feed"
6,0,"feed"
7,0,"feed"
8,NA,"feed"
9,0,"feed"
10,NA,"feed"
11,1,"feed"
12,0,"feed"
